node_id,grau,clustering,closeness,betweenness,eigenvector,page_rank
F_253,15,0.580952380952381,0.0867283438433455,1.176809473572734e-05,0.00021848268313100238,6.994469499040239e-05
F_258,17,0.49264705882352944,0.09302204851712041,3.480948612600761e-05,0.0005347487597086825,7.752963522153017e-05
F_259,18,0.45751633986928103,0.09382714202360827,5.158487589495214e-05,0.0008114541343405682,7.919090656867685e-05
F_260,20,0.3894736842105263,0.10045490221204209,0.0001267885168226361,0.002465699230672361,7.910328456331501e-05
F_261,21,0.37142857142857144,0.10128391472868217,0.0002647969309201655,0.003922443427196239,7.725492506295204e-05
F_262,22,0.33766233766233766,0.10202371850140717,0.0011760029606697818,0.007167941057388303,7.849087086900469e-05
F_263,18,0.45098039215686275,0.09464415067004708,0.00033931573492847276,0.006011848030786287,6.883119342942592e-05
F_264,20,0.3894736842105263,0.09478146536089953,0.0006205034811937151,0.010127177920673764,7.291137258325318e-05
F_265,22,0.35064935064935066,0.08966266593276194,0.0012750922672437564,0.011573791244669493,7.334245419790859e-05
F_266,23,0.35177865612648224,0.08904333257610177,0.00027150997043196885,0.013396387328994895,8.244292610236134e-05
F_267,24,0.34057971014492755,0.08581632583247241,0.00017093064508131656,0.014111439180674453,8.538035759572771e-05
